Gene,lof.oe_ci.upper
ACAP2,0.417
ACAP3,0.789
ACAT1,0.754
ACAT2,0.99
ACBD3,0.634
ACBD4,0.911
ACBD5,0.692
ACBD6,1.037
ACBD7,1.515
ACCS,0.896
ACCSL,1.037
ACD,0.906
ACE,0.785
ACER1,1.201
ACER2,1.072
ACER3,0.649
ACHE,0.486
ACIN1,0.15
ACKR1,1.841
ACKR2,1.833
ACKR3,0.492
ACKR4,1.218
ACLY,0.399
ACMSD,1.026
ACO1,0.839
ACO2,0.465
ACOD1,1.524
ACOT1,1.397
ACOT11,1.088
ACOT12,0.884
ACOT13,1.214
ACOT2,1.162
ACOT4,1.586
ACOT6,1.837
ACOT7,0.359
ACOT8,1.096
ACOX1,0.628
ACOX2,0.896
ACOX3,1.086
ACOXL,1.096
ACP1,1.547
ACP2,0.695
ACP3,1.078
ACP4,1.413
ACP5,1.14
ACP6,1.182
ACP7,1.101
ACR,0.943
ACRBP,0.911
ACRV1,0.738
ACSBG1,0.554
ACSBG2,0.892
ACSF2,0.844
ACSF3,1.625
ACSL1,0.475
ACSL3,0.571
ACSL5,0.661
ACSL6,0.584
ACSM1,1.222
ACSM2A,1.207
ACSM2B,0.936
ACSM3,0.999
ACSM4,1.072
ACSM5,0.987
ACSM6,0.912
ACSS1,0.712
ACSS2,0.746
ACSS3,0.888
ACTA1,0.902
ACTA2,0.472
ACTB,0.102
ACTBL2,1.624
ACTC1,0.511
ACTG1,0.581
ACTG2,0.626
ACTL10,1.947
ACTL6A,0.186
ACTL6B,0.954
ACTL7A,1.182
ACTL7B,1.414
ACTL8,0.756
ACTL9,1.575
ACTN1,0.306
ACTN2,0.432
ACTN3,0.9
ACTN4,0.236
ACTR10,1.076
ACTR1A,0.337
ACTR1B,0.836
ACTR2,0.177
ACTR3,0.457
ACTR3B,0.27
ACTR3C,1.039
ACTR5,0.986
ACTR6,0.994
ACTR8,1.033
ACTRT2,1.307
ACTRT3,1.242
ACVR1,0.835
ACVR1B,0.348
ACVR1C,0.6
ACVR2A,0.222
ACVR2B,0.376
ACVRL1,0.464
ACY1,0.836
ACY3,1.17
ACYP1,1.114
ACYP2,1.696
ADA,1.184
ADA2,0.879
ADAD1,0.778
ADAD2,1.524
ADAL,1.128
ADAM10,0.276
ADAM11,0.584
ADAM12,0.786
ADAM15,0.75
ADAM17,0.565
ADAM18,1.585
ADAM19,0.689
ADAM2,1.188
ADAM20,1.933
ADAM21,1.913
ADAM22,0.449
ADAM23,0.416
ADAM28,1.23
ADAM29,1.508
ADAM30,1.903
ADAM32,1.017
ADAM33,1.291
ADAM7,1.102
ADAM8,1.375
ADAM9,0.56
ADAMDEC1,1.234
ADAMTS1,0.303
ADAMTS10,0.467
ADAMTS12,0.757
ADAMTS13,0.907
ADAMTS14,0.844
ADAMTS15,0.54
ADAMTS16,0.768
ADAMTS17,0.913
ADAMTS18,1.015
ADAMTS19,0.734
ADAMTS2,0.568
ADAMTS20,0.916
ADAMTS3,0.652
ADAMTS4,0.732
ADAMTS5,0.818
ADAMTS6,0.212
ADAMTS7,0.736
ADAMTS8,1.042
ADAMTS9,0.469
ADAMTSL1,0.723
ADAMTSL2,0.679
ADAMTSL3,0.658
ADAMTSL4,0.92
ADAMTSL5,1.389
ADAP1,0.902
ADAP2,0.98
ADAR,0.365
ADARB1,0.323
ADARB2,0.545
ADAT1,1.033
ADAT2,1.326
ADAT3,1.929
ADCK1,0.916
ADCK2,0.782
ADCK5,0.984
ADCY1,0.346
ADCY10,0.886
ADCY2,0.329
ADCY3,0.663
ADCY4,1.089
ADCY5,0.32
ADCY6,0.615
ADCY7,0.646
ADCY8,0.578
ADCY9,0.603
ADCYAP1,0.864
ADCYAP1R1,0.766
ADD1,0.378
ADD2,0.356
ADD3,0.328
ADGB,0.933
ADGRA1,1.025
ADGRA2,0.935
ADGRA3,0.59
ADGRB1,0.338
ADGRB2,0.354
ADGRB3,0.246
ADGRD1,0.763
ADGRE1,0.943
ADGRE2,1.025
ADGRE3,1.257
ADGRE5,0.884
ADGRF1,1.189
ADGRF2,1.183
ADGRF3,0.945
ADGRF4,1.306
ADGRF5,0.717
ADGRG1,0.768
ADGRG3,0.845
ADGRG5,0.938
ADGRG6,0.62
ADGRG7,1.179
ADGRL1,0.302
ADGRL2,0.283
ADGRL3,0.4
ADGRL4,1.44
ADGRV1,0.618
ADH1A,1.104
ADH1B,1.013
ADH1C,0.991
ADH4,1.077
ADH5,1.059
ADH6,1.135
ADH7,1.294
ADHFE1,0.906
ADI1,1.586
ADIG,1.674
ADIPOQ,1.655
ADIPOR1,0.571
ADIPOR2,0.636
ADIRF,1.708
ADK,0.765
ADM,0.57
ADM2,1.901
ADM5,1.818
ADNP,0.106
ADNP2,0.896
ADO,1.476
ADORA1,0.598
ADORA2A,0.59
ADORA2B,1.412
ADORA3,1.204
ADPGK,0.736
ADPRH,1.165
ADPRHL1,1.054
ADPRM,0.956
ADPRS,0.989
ADRA1A,1.343
ADRA1B,1.243
ADRA1D,1.772
ADRA2A,1.783
ADRA2B,1.556
ADRA2C,0.815
ADRB1,1.939
ADRB2,0.901
ADRB3,1.952
ADRM1,0.188
ADSL,0.884
ADSS1,1.175
ADSS2,0.646
ADTRP,1.062
AEBP1,0.727
AEBP2,0.379
AEN,1.456
AFAP1,0.794
AFAP1L1,0.901
AFAP1L2,0.514
AFDN,0.173
AFF1,0.418
AFF3,0.318
AFF4,0.103
AFG1L,0.923
AFG3L2,0.714
AFM,1.421
AFMID,1.018
AFP,0.963
AFTPH,0.173
AGA,0.938
AGAP1,0.313
AGAP2,0.414
AGAP3,0.208
AGAP4,0.761
AGAP5,0.717
AGAP6,0.757
AGAP9,0.823
AGBL1,1.31
AGBL2,0.925
AGBL3,0.764
AGBL4,1.022
AGBL5,0.708
AGER,1.032
AGFG1,0.157
AGFG2,0.743
AGGF1,0.808
AGK,0.918
AGL,0.715
AGMAT,1.712
AGMO,1.532
AGO1,0.163
AGO2,0.096
AGO3,0.223
AGO4,0.393
AGPAT1,0.367
AGPAT2,1.153
AGPAT3,0.21
AGPAT4,0.461
AGPAT5,1.391
AGPS,0.3
AGR2,1.34
AGR3,1.908
AGRN,0.725
AGRP,1.091
AGT,1.201
AGTPBP1,0.506
AGTR1,1.113
AGTRAP,0.838
AGXT,1.251
AGXT2,1.183
AHCTF1,0.106
AHCY,0.676
AHCYL1,0.315
AHCYL2,0.423
AHDC1,0.168
AHI1,0.883
AHNAK,0.369
AHNAK2,0.89
AHR,0.6
AHRR,0.85
AHSA1,0.505
AHSG,1.004
AHSP,1.921
AICDA,1.144
AIDA,0.528
AIF1,1.407
AIF1L,0.902
AIFM2,1.404
AIFM3,1.094
AIG1,1.149
AIM2,1.023
AIMP1,0.86
AIMP2,1.098
AIP,0.621
AIPL1,0.839
AIRE,1.169
AJAP1,0.376
AJM1,1.162
AJUBA,0.44
AK1,0.772
AK2,0.884
AK3,1.534
AK4,0.942
AK4P3,
AK5,0.484
AK6,1.372
AK7,0.921
AK8,1.051
AK9,0.848
AKAIN1,1.506
AKAP1,0.39
AKAP10,0.381
AKAP11,0.319
AKAP12,0.457
AKAP13,0.238
AKAP3,0.62
AKAP5,0.698
AKAP6,0.348
AKAP7,1.33
AKAP8,0.477
AKAP8L,0.592
AKAP9,0.659
AKIP1,1.11
AKIRIN1,0.435
AKIRIN2,0.459
AKNA,0.581
AKNAD1,0.912
AKR1A1,0.871
AKR1B1,0.75
AKR1B10,1.294
AKR1B15,1.527
AKR1C1,1.148
AKR1C2,1.035
AKR1C3,1.34
AKR1C4,1.337
AKR1D1,1.157
AKR1E2,1.195
AKR7A2,0.972
AKR7A3,1.409
AKR7L,
AKT1,0.474
AKT1S1,1.49
AKT2,0.342
AKT3,0.444
AKTIP,0.55
ALAD,0.619
ALAS1,0.628
ALB,0.577
ALCAM,0.473
ALDH16A1,1.126
ALDH18A1,0.549
ALDH1A1,0.538
ALDH1A2,0.581
ALDH1A3,0.667
ALDH1B1,1.029
ALDH1L1,0.789
ALDH1L2,0.952
ALDH2,0.902
ALDH3A1,1.126
ALDH3A2,0.856
ALDH3B1,1.177
ALDH3B2,1.453
ALDH4A1,0.849
ALDH5A1,0.771
ALDH6A1,0.835
ALDH7A1,0.962
ALDH8A1,1.088
ALDH9A1,0.887
ALDOA,0.71
ALDOB,1.183
ALDOC,0.777
ALG1,1.189
ALG10,0.901
ALG10B,1.018
ALG11,0.885
ALG12,0.932
ALG14,1.055
ALG1L2,1.461
ALG2,1.046
ALG3,0.838
ALG5,0.69
ALG6,0.892
ALG8,0.869
ALG9,0.811
ALK,0.562
ALKAL1,1.944
ALKAL2,1.151
ALKBH1,1.128
ALKBH2,1.372
ALKBH3,1.434
ALKBH4,1.005
ALKBH5,0.19
ALKBH6,0.943
ALKBH7,1.329
ALKBH8,0.785
ALLC,1.144
ALMS1,0.797
ALOX12,0.921
ALOX12B,0.783
ALOX15,1.117
ALOX15B,1.249
ALOX5,0.856
ALOX5AP,0.795
ALOXE3,1.024
ALPG,1.103
ALPI,1.163
ALPK1,1.022
ALPK2,0.862
ALPK3,0.874
ALPL,0.963
ALPP,1.117
ALS2,0.554
ALS2CL,1.079
ALX1,0.734
ALX3,0.847
ALX4,0.902
ALYREF,0.235
AMACR,1.108
AMBN,1.299
AMBP,1.017
AMBRA1,0.474
AMDHD1,1.381
AMDHD2,0.868
AMD 1.00,0.425
AMER2,0.655
AMER3,1.166
AMFR,0.425
AMH,1.954
AMHR2,0.774
AMIGO1,0.099
AMIGO2,0.97
AMIGO3,1.844
AMMECR1L,0.257
AMN,1.446
AMN1,0.82
AMOTL1,0.558
AMOTL2,0.574
AMPD1,1.034
AMPD2,0.697
AMPD3,0.814
AMPH,0.608
AMT,0.788
AMTN,1.568
AMY1A,1.903
AMY1C,0.564
AMY2A,0.848
AMY2B,1.395
AMZ1,1.843
AMZ2,0.888
ANAPC1,0.273
ANAPC10,0.863
ANAPC11,0.785
ANAPC13,1.596
ANAPC15,0.939
ANAPC16,0.689
ANAPC2,0.482
ANAPC4,0.757
ANAPC5,0.653
ANAPC7,0.478
ANG,1.697
ANGEL1,0.947
ANGEL2,0.771
ANGPT1,0.414
ANGPT2,0.534
ANGPT4,1.189
ANGPTL1,0.981
ANGPTL2,0.643
ANGPTL3,1.209
ANGPTL4,1.386
ANGPTL5,0.99
ANGPTL6,1.335
ANGPTL7,1.231
ANGPTL8,1.749
ANHX,0.776
ANK1,0.284
ANK2,0.256
ANK3,0.16
ANKAR,1.028
ANKDD1A,1.029
ANKDD1B,0.894
ANKEF1,0.77
ANKFN1,0.728
ANKFY1,0.401
ANKH,0.391
ANKHD1,0.167
ANKHD1-EIF4EBP3,0.204
ANKIB1,0.482
ANKK1,1.347
ANKLE1,1.324
ANKLE2,0.784
ANKMY1,1.047
ANKMY2,0.873
ANKRA2,1.188
ANKRD1,1.038
ANKRD10,1.028
ANKRD11,0.12
ANKRD12,0.583
ANKRD13A,0.635
ANKRD13B,0.509
ANKRD13C,0.422
ANKRD13D,0.503
ANKRD16,1.356
ANKRD17,0.103
ANKRD18A,0.858
ANKRD18B,0.856
ANKRD2,1.421
ANKRD20A1,0.512
ANKRD20A2P,1.149
ANKRD20A3P,1.759
ANKRD20A4P,0.199
ANKRD22,1.513
ANKRD23,1.66
ANKRD24,1.222
ANKRD26,0.666
ANKRD27,0.965
ANKRD28,0.42
ANKRD29,1.164
ANKRD30A,1.295
ANKRD30B,0.981
ANKRD30BL,1.929
ANKRD31,0.816
ANKRD33,1.351
ANKRD33B,0.682
ANKRD34A,0.468
ANKRD34B,1.942
ANKRD34C,1.761
ANKRD35,1.014
ANKRD36,1.095
ANKRD36B,0.508
ANKRD36C,0.34
ANKRD37,1.177
ANKRD39,1.375
ANKRD40,0.607
ANKRD42,1.011
ANKRD44,0.337
ANKRD45,1.119
ANKRD46,0.965
ANKRD49,1.221
ANKRD50,0.418
ANKRD52,0.122
ANKRD53,1.318
ANKRD54,0.879
ANKRD55,0.798
ANKRD6,0.844
ANKRD60,1.607
ANKRD61,1.498
ANKRD62,0.942
ANKRD63,1.835
ANKRD65,1.887
ANKRD66,1.365
ANKRD7,1.219
ANKRD9,1.959
ANKS1A,0.511
ANKS1B,0.098
ANKS3,1.023
ANKS4B,1.325
ANKS6,0.856
ANKUB1,0.928
ANKZF1,1.113
ANLN,0.536
ANO1,0.586
ANO10,1.235
ANO2,0.975
ANO3,0.877
ANO4,0.544
ANO5,1.026
ANO6,0.995
ANO7,1.152
ANO8,0.69
ANO9,1.001
ANP32A,0.143
ANP32B,0.364
ANP32C,1.905
ANP32D,1.433
ANP32E,0.61
ANPEP,0.705
ANTKMT,1.947
ANTXR1,0.34
ANTXR2,0.918
ANTXRL,0.993
ANXA1,1.173
ANXA10,1.146
ANXA11,1.066
ANXA13,0.96
ANXA2,0.934
ANXA2R,
ANXA3,1.244
ANXA4,0.998
ANXA5,1.465
ANXA6,0.853
ANXA7,1.055
ANXA8,0.642
ANXA8L1,1.812
ANXA9,1.091
AOAH,0.846
AOC1,1.238
AOC2,1.292
AOC3,1.048
AOPEP,0.905
AOX1,1.009
AP1AR,0.906
AP1B1,0.445
AP1G1,0.113
AP1G2,0.99
AP1M1,0.474
AP1M2,1.034
AP1S1,1.078
AP1S3,0.817
AP2A1,0.324
AP2A2,0.425
AP2B1,0.27
AP2M1,0.141
AP2S1,0.448
AP3B1,0.493
AP3B2,0.504
AP3D1,0.383
AP3M1,0.783
AP3M2,0.741
AP3S1,0.92
AP3S2,1.138
AP4B1,0.73
AP4E1,0.571
AP4M1,1.086
AP4S1,1.453
AP5B1,1.424
AP5M1,1.061
AP5S1,1.528
AP5Z1,1.641
APAF1,0.646
APBA1,0.978
APBA2,0.468
APBA3,1.237
APBB1,0.343
APBB1IP,0.549
APBB2,0.534
APBB3,0.969
APC,0.258
APC2,0.923
APCDD1,0.586
APCDD1L,1.783
APCS,1.826
APEH,0.78
APEX1,1.222
APH1A,0.716
APH1B,1.29
API5,0.118
APIP,1.292
APLF,1.263
APLNR,0.81
APLP1,0.632
APLP2,0.704
APMAP,1.039
APOA1,1.168
APOA2,0.882
APOA4,0.985
APOA5,1.146
APOB,0.535
APOBEC1,1.086
APOBEC2,1.085
APOBEC3A,0.9
APOBEC3B,0.828
APOBEC3C,1.056
APOBEC3D,1.013
APOBEC3F,1.014
APOBEC3G,1.103
APOBEC3H,0.651
APOBEC4,1.412
APOBR,0.99
APOC1,1.483
APOC2,1.054
APOC3,1.642
APOC4,1.817
APOC4-APOC2,1.105
APOD,1.436
APOE,1.216
APOF,1.885
APOH,1.542
APOL1,1.388
APOL2,1.704
APOL3,1.292
APOL4,1.846
APOL5,1.034
APOL6,1.656
APOLD1,1.947
APOM,1.325
APP,0.241
APPBP2,0.338
APPL1,0.496
APPL2,1.04
APRT,1.789
APTX,0.919
AQP1,0.78
AQP10,0.967
AQP11,1.743
AQP12A,1.828
AQP12B,1.804
AQP2,1.375
AQP3,0.786
AQP4,0.78
AQP5,1.316
AQP6,1.396
AQP7,1.24
AQP8,0.789
AQP9,1.134
AQR,0.413
ARAP1,0.523
ARAP2,0.882
ARAP3,0.552
ARC,1.393
ARCN1,0.145
AREG,0.686
AREL1,0.662
ARF1,0.247
ARF3,0.436
ARF4,0.418
ARF5,0.665
ARF6,0.251
ARFGAP1,0.537
ARFGAP2,0.646
ARFGAP3,1.116
ARFGEF1,0.22
ARFGEF2,0.39
ARFGEF3,0.588
ARFIP1,0.752
ARFIP2,0.516
ARFRP1,0.759
ARG1,0.814
ARG2,0.78
ARGFX,1.843
ARGLU1,0.396
ARHGAP1,0.579
ARHGAP10,0.798
ARHGAP11A,0.794
ARHGAP11A-SCG5,0.81
ARHGAP11B,0.842
ARHGAP12,0.622
ARHGAP15,1.115
ARHGAP17,0.637
ARHGAP18,0.931
ARHGAP19,1.023
ARHGAP19-SLIT1,
ARHGAP20,0.51
ARHGAP21,0.238
ARHGAP22,1.092
ARHGAP23,0.305
ARHGAP24,0.742
ARHGAP25,0.626
ARHGAP26,0.351
ARHGAP27,0.65
ARHGAP28,0.773
ARHGAP29,0.437
ARHGAP30,0.403
ARHGAP31,0.365
ARHGAP32,0.282
ARHGAP33,0.553
ARHGAP35,0.204
ARHGAP39,0.642
ARHGAP40,0.718
ARHGAP42,0.616
ARHGAP44,0.565
ARHGAP45,0.739
ARHGAP5,0.295
ARHGAP8,1.362
ARHGAP9,0.922
ARHGDIA,0.606
ARHGDIB,0.837
ARHGDIG,1.171
ARHGEF1,0.455
ARHGEF10,0.995
ARHGEF10L,0.644
ARHGEF11,0.28
ARHGEF12,0.348
ARHGEF15,0.879
ARHGEF16,1.01
ARHGEF17,0.434
ARHGEF18,0.679
ARHGEF19,1.327
ARHGEF2,0.241
ARHGEF25,0.742
ARHGEF26,0.813
ARHGEF28,0.87
ARHGEF3,0.511
ARHGEF33,0.941
ARHGEF35,1.886
ARHGEF37,0.825
ARHGEF38,1.21
ARHGEF39,1.221
ARHGEF4,0.828
ARHGEF40,0.691
ARHGEF5,0.339
ARHGEF7,0.348
ARID1A,0.095
ARID1B,0.116
ARID2,0.212
ARID3A,0.384
ARID3B,0.332
ARID3C,1.716
ARID4A,0.307
ARID4B,0.176
ARID5A,0.7
ARID5B,0.211
ARIH1,0.302
ARIH2,0.242
ARL13B,0.886
ARL14EP,0.823
ARL14EPL,1.402
ARL2-SNX15,
ARL2BP,0.96
ARL4A,0.77
ARL4C,0.556
ARL4D,1.8
ARL5A,0.926
ARL5B,0.572
ARL5C,1.386
ARL6IP1,0.669
ARL6IP4,1.24
ARL6IP5,0.856
ARL6IP6,1.275
ARL8A,0.42
ARL8B,0.698
ARL 1.00,0.781
ARL 10.00,1.521
ARL 11.00,1.844
ARL 14.00,1.682
ARL 15.00,1.271
ARL 16.00,1.928
ARL 2.00,0.935
ARL 3.00,0.431
ARL 6.00,0.95
ARL 9.00,0.935
ARMC1,0.793
ARMC10,1.341
ARMC12,0.806
ARMC2,0.936
ARMC3,0.881
ARMC5,0.681
ARMC6,0.837
ARMC7,1.005
ARMC8,0.301
ARMC9,0.948
ARMH1,0.729
ARMH2,1.156
ARMH3,0.748
ARMH4,0.943
ARMS2,1.815
ARMT1,1.083
ARNT,0.35
ARNT2,0.496
ARNTL,0.221
ARNTL2,0.788
ARPC1A,0.31
ARPC1B,0.876
ARPC2,0.319
ARPC3,0.678
ARPC4,0.326
ARPC4-TTLL3,0.617
ARPC5,0.725
ARPC5L,0.503
ARPIN,1.294
ARPIN-AP3S2,1.174
ARPP19,1.59
ARPP21,0.473
ARRB1,0.574
ARRB2,0.557
ARRDC1,1.175
ARRDC2,1.204
ARRDC3,0.237
ARRDC4,1.309
ARRDC5,1.265
ARSA,1.119
ARSB,1.032
ARSG,0.892
ARSI,1.403
ARSJ,0.951
ARSK,0.954
ART1,1.476
ART3,1.299
ART4,0.895
ART5,1.332
ARTN,0.953
ARV1,1.086
ARVCF,0.954
AS3MT,1.26
ASAH1,1.336
ASAH2,0.782
ASAH2B,1.734
ASAP1,0.346
ASAP2,0.444
ASAP3,0.855
ASB1,0.951
ASB10,1.414
ASB13,1.686
ASB14,1.284
ASB15,1.046
ASB16,1.675
ASB17,1.363
ASB18,1.764
ASB2,1.24
ASB3,0.958
ASB4,1.226
ASB5,1.29
ASB6,1.213
ASB7,0.277
ASB8,1.004
ASCC1,0.927
ASCC2,0.554
ASCC3,0.668
ASCL1,0.51
ASCL2,1.962
ASCL3,1.504
ASCL4,1.921
ASCL5,1.704
ASDURF,1.865
ASF1A,0.571
ASF1B,0.91
ASGR1,0.962
ASGR2,1.287
ASH1L,0.098
ASH2L,0.451
ASIC1,0.453
ASIC2,0.556
ASIC3,0.999
ASIC4,0.69
ASIC5,1.286
ASIP,1.794
ASL,0.936
ASNS,0.744
ASNSD1,0.939
ASPA,0.694
ASPDH,1.167
ASPG,0.919
ASPH,0.812
ASPHD1,1.102
ASPHD2,0.547
ASPM,0.745
ASPN,1.517
ASPRV1,1.252
ASPSCR1,0.961
ASRGL1,1.121
ASS1,1.12
ASTE1,1.174
ASTL,0.954
ASTN1,0.392
ASTN2,0.452
ASXL1,0.416
ASXL2,0.239
ASXL3,0.213
ASZ1,1.304
ATAD1,0.418
ATAD2,0.406
ATAD2B,0.376
ATAD3A,0.719
ATAD3B,1.051
ATAD3C,1.15
ATAD5,0.409
ATAT1,0.81
ATCAY,0.725
ATE1,0.472
ATF1,0.566
ATF2,0.389
ATF3,0.845
ATF4,0.718
ATF5,1.596
ATF6,0.852
ATF6B,0.727
ATF7,0.391
ATF7-NPFF,0.52
ATF7IP,0.29
ATF7IP2,0.909
ATG10,1.713
ATG101,0.632
ATG12,1.671
ATG13,0.343
ATG14,0.744
ATG16L1,0.518
ATG16L2,1.043
ATG2A,0.602
ATG2B,0.586
ATG3,0.887
ATG4B,0.714
ATG4C,1.091
ATG4D,1.101
ATG5,0.739
ATG7,0.948
ATG9A,0.307
ATG9B,1.397
ATIC,1.007
ATL1,0.513
ATL2,0.605
ATL3,0.754
ATM,0.816
ATMIN,0.594
ATN1,0.352
ATOH1,0.767
ATOH7,1.758
ATOH8,0.794
ATOX1,1.056
ATP10A,0.869
ATP10B,0.909
ATP10D,0.707
ATP11A,0.419
ATP11B,0.501
ATP12A,0.848
ATP13A1,0.589
ATP13A2,0.698
ATP13A3,0.412
ATP13A4,0.878
ATP13A5,1.026
ATP1A1,0.163
ATP1A2,0.598
ATP1A3,0.156
ATP1A4,0.864
ATP1B1,0.189
ATP1B2,0.526
ATP1B3,0.619
ATP23,1.061
ATP2A1,0.873
ATP2A2,0.18
ATP2A3,0.715
ATP2B1,0.155
ATP2B2,0.128
ATP2B4,0.242
ATP2C1,0.338
ATP2C2,1.673
ATP4A,0.808
ATP4B,1.04
ATP5F1A,0.571
ATP5F1B,0.531
ATP5F1C,0.653
ATP5F1D,1.879
ATP5F1E,1.654
ATP5IF1,1.549
ATP5MC1,0.654
ATP5MC2,1.456
ATP5MC3,0.851
ATP5ME,1.607
ATP5MF,1.222
ATP5MF-PTCD1,1.109
ATP5MG,1.124
ATP5MGL,1.838
ATP5MJ,0.844
ATP5MK,1.615
ATP5PB,0.857
ATP5PD,0.873
ATP5PF,1.087
ATP5PO,0.87
ATP6V0A1,0.42
ATP6V0A2,0.597
ATP6V0A4,0.916
ATP6V0B,0.336
ATP6V0C,0.512
ATP6V0D1,0.488
ATP6V0D2,1.37
ATP6V0E1,0.859
ATP6V0E2,0.973
ATP6V1A,0.391
ATP6V1B1,0.827
ATP6V1B2,0.457
ATP6V1C1,1.162
ATP6V1C2,1.008
ATP6V1D,0.803
ATP6V1E1,0.843
ATP6V1E2,1.935
ATP6V1F,1.257
ATP6V1FNB,1.26
ATP6V1G1,1.921
ATP6V1G2,1.151
ATP6V1G2-DDX39B,
ATP6V1G3,1.81
ATP6V1H,0.753
ATP7B,1.034
ATP8A1,0.661
ATP8A2,0.675
ATP8B1,0.62
ATP8B2,0.6
ATP8B3,1.269
ATP8B4,0.983
ATP9A,0.439
ATP9B,0.692
ATPAF1,0.787
ATPAF2,1.097
ATPSCKMT,1.317
ATR,0.518
ATRAID,1.204
ATRIP,0.646
ATRN,0.375
ATRNL1,0.504
ATXN1,0.264
ATXN10,0.719
ATXN1L,0.346
ATXN2,0.199
ATXN2L,0.246
ATXN3,0.542
ATXN7,0.247
ATXN7L1,0.305
ATXN7L2,0.384
ATXN7L3,0.226
ATXN7L3B,1.663
AUH,0.915
AUNIP,1.281
AUP1,0.758
AURKA,0.479
AURKAIP1,1.786
AURKB,0.832
AURKC,0.726
AUTS2,0.211
AVEN,1.086
AVIL,0.81
AVL9,0.594
AVP,1.923
AVPI1,1.171
AVPR1A,1.264
AVPR1B,1.194
AXDND1,0.95
AXIN1,0.443
AXIN2,0.282
AXL,0.625
AZGP1,1.129
AZI2,0.685
AZIN1,0.259
AZIN2,0.71
AZU1,1.73
B2M,0.501
B3GALNT1,0.82
B3GALNT2,1.026
B3GALT1,0.71
B3GALT2,0.587
B3GALT4,1.501
B3GALT5,1.868
B3GALT6,1.987
B3GAT1,0.749
B3GAT2,1.36
B3GAT3,0.752
B3GLCT,0.915
B3GNT2,0.673
B3GNT3,1.018
B3GNT4,1.916
B3GNT5,0.568
B3GNT6,1.902
B3GNT7,1.94
B3GNT8,1.855
B3GNT9,1.94
B3GNTL1,1.357
B4GALNT1,1.03
B4GALNT2,1.112
B4GALNT3,0.835
B4GALNT4,1.059
B4GALT1,0.706
B4GALT2,0.78
B4GALT3,0.865
B4GALT4,0.925
B4GALT5,0.415
B4GALT6,0.482
B4GALT7,1.123
B4GAT1,0.898
B9D1,0.957
B9D2,1.518
BAALC,1.439
BAAT,1.049
BABAM1,0.672
BABAM2,0.753
BACE1,0.498
BACE2,0.555
BACH1,0.836
BACH2,0.164
BAD,1.832
BAG1,1.406
BAG2,0.756
BAG3,0.538
BAG4,0.686
BAG5,1.04
BAG6,0.2
BAHCC1,1.959
BAHD1,0.382
BAIAP2,0.395
BAIAP2L1,0.669
BAIAP2L2,1.465
BAIAP3,1.375
BAK1,1.197
BAMBI,1.302
BANF1,0.286
